id,sentiment
411,positive
729,neutral
373,negative
262,positive
177,neutral
560,negative
834,neutral
619,negative
874,positive
336,positive
464,neutral
254,negative
618,negative
477,neutral
648,negative
88,negative
87,neutral
462,negative
500,neutral
627,positive
979,neutral
62,negative
256,positive
292,neutral
40,neutral
803,positive
548,positive
356,negative
675,positive
440,positive
661,neutral
146,neutral
844,negative
963,positive
986,negative
994,negative
971,negative
333,negative
700,positive
726,positive
203,positive
772,negative
415,negative
947,negative
175,neutral
107,neutral
28,neutral
959,neutral
100,neutral
288,positive
667,negative
525,positive
294,negative
16,positive
171,neutral
633,neutral
86,neutral
818,neutral
371,negative
341,positive
745,neutral
263,positive
163,neutral
584,neutral
646,neutral
918,neutral
196,neutral
375,negative
711,negative
721,negative
580,neutral
973,negative
427,neutral
61,neutral
198,positive
399,negative
550,positive
383,positive
59,neutral
742,positive
956,negative
31,negative
82,neutral
779,positive
271,neutral
130,positive
226,negative
731,positive
543,neutral
714,negative
587,negative
891,positive
80,neutral
106,neutral
944,positive
538,negative
96,neutral
21,positive
314,negative
206,neutral
725,negative
368,positive
69,neutral
346,positive
972,negative
600,neutral
185,negative
606,positive
244,neutral
74,positive
434,neutral
601,positive
939,positive
910,positive
195,negative
797,neutral
443,positive
682,positive
369,positive
847,positive
370,positive
915,negative
141,positive
429,neutral
296,neutral
786,negative
764,positive
273,negative
936,negative
819,neutral
81,neutral
638,positive
563,neutral
218,neutral
813,positive
138,negative
737,positive
3,positive
103,positive
945,positive
617,positive
15,negative
446,neutral
668,negative
989,positive
573,positive
919,neutral
910,positive
195,negative
797,neutral
443,positive
682,positive
369,positive
847,positive
370,positive
915,negative
141,positive
429,neutral
296,neutral
786,negative
764,positive
273,negative
936,negative
819,neutral
81,neutral
638,positive
563,neutral
218,neutral
813,positive
138,negative
737,positive
3,positive
103,positive
945,positive
617,positive
15,negative
446,neutral
668,negative
989,positive
573,positive
919,neutral